overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
59.0,35.0,33.0,46.0,61.0,31.0,37.0,57.0,32.0,57.0,69.0,58.0,67.0,74.0,63.0,66.0,67.0,54.0,62.0,68.0,59.0,64.0,60.0,67.0,72.0,58.0,58.0,58.0,60.0,8.0,20.0,57.0,20.0,20.0,2007
63.0,35.0,33.0,46.0,68.0,31.0,56.0,57.0,32.0,57.0,69.0,66.0,67.0,74.0,61.0,66.0,67.0,54.0,59.0,65.0,59.0,64.0,57.0,64.0,72.0,56.0,59.0,64.0,60.0,8.0,20.0,57.0,20.0,20.0,2008
66.5,43.0,33.0,50.0,72.5,31.0,61.0,57.0,32.0,64.5,71.0,69.0,67.0,74.0,64.5,66.0,66.0,54.0,65.0,65.5,60.0,70.0,70.0,73.0,72.0,64.0,61.0,66.5,60.0,8.0,20.0,64.5,20.0,20.0,2009
68.0,51.0,33.0,54.0,74.0,31.0,63.0,57.0,32.0,66.0,73.0,72.0,67.0,74.0,68.0,66.0,65.0,54.0,71.0,66.0,61.0,72.0,70.0,65.0,72.0,49.0,63.0,67.0,60.0,11.0,13.5,40.0,15.0,15.5,2010
68.5,50.5,32.5,53.5,73.5,30.5,67.0,56.5,42.0,65.5,72.5,71.5,69.5,74.5,67.5,68.0,67.5,62.0,77.5,65.5,60.5,71.5,68.0,55.5,71.5,31.5,61.5,66.5,60.5,14.0,7.0,14.0,10.0,11.0,2011
70.0,62.0,32.0,56.5,73.0,60.0,71.0,56.0,52.0,69.0,72.0,69.5,64.5,75.0,69.0,75.0,70.0,70.0,84.0,64.0,60.0,84.0,68.5,57.0,68.0,31.0,62.0,67.0,65.0,14.0,7.0,14.0,10.0,11.0,2012
73.5,62.0,47.0,58.0,77.0,60.0,72.0,56.0,52.0,72.0,76.0,69.5,62.67,75.0,74.5,75.5,74.0,72.33,85.0,67.67,68.5,84.0,74.0,60.0,68.0,31.0,64.5,70.0,66.0,14.0,7.0,14.0,10.0,11.0,2013
74.0,62.0,52.0,58.0,77.0,60.0,72.0,56.0,52.0,72.0,76.0,80.4,73.2,75.0,76.0,75.0,75.0,73.0,85.0,73.2,75.0,84.0,74.0,60.0,68.8,31.0,67.0,72.0,67.0,14.0,7.0,14.0,10.0,11.0,2014
75.0,63.0,53.0,59.0,78.0,61.0,73.0,57.0,53.0,73.0,77.0,86.0,76.0,75.0,77.0,75.0,76.0,73.0,85.0,74.0,76.0,85.0,75.0,61.0,70.0,32.0,68.0,73.0,68.0,15.0,8.0,15.0,11.0,12.0,2015
75.75,63.0,51.5,58.75,78.0,61.0,69.5,54.5,49.0,73.0,77.0,79.25,70.75,70.25,77.0,77.25,76.0,73.0,79.0,80.0,76.0,85.0,75.0,61.0,70.0,32.0,71.75,74.5,70.25,15.0,8.0,15.0,11.0,12.0,2016
