overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
84.5,76.0,75.0,74.5,89.0,77.0,69.0,81.0,84.0,92.5,89.0,80.5,79.5,64.0,80.5,73.0,83.0,68.0,86.0,80.0,90.5,34.0,91.0,87.0,91.0,84.0,84.0,72.0,68.0,12.0,17.0,92.5,16.5,17.5,2007
82.0,79.0,60.0,70.0,86.0,77.0,69.0,81.0,83.0,91.0,88.0,65.0,75.0,64.0,75.0,73.0,78.0,68.0,84.0,76.0,84.0,57.0,85.0,87.0,91.0,84.0,68.0,72.0,68.0,12.0,25.0,91.0,25.0,25.0,2008
83.5,79.0,61.5,73.0,90.5,77.0,69.0,81.0,83.0,91.0,88.0,65.0,74.5,64.0,75.0,73.0,82.0,68.0,83.0,77.5,86.0,68.5,85.0,87.0,91.0,84.0,71.0,74.5,68.0,12.0,25.0,91.0,25.0,25.0,2009
84.5,79.0,63.0,73.0,91.5,77.0,69.0,81.0,83.0,93.5,87.5,65.0,73.0,64.0,78.5,73.0,86.0,68.0,81.5,77.5,85.0,74.5,86.0,86.5,91.0,82.5,77.0,82.0,68.0,9.5,16.5,51.0,17.5,17.5,2010
85.5,79.0,64.0,73.0,90.5,77.0,67.5,81.0,83.0,92.5,86.5,63.0,66.5,62.5,83.0,69.0,86.0,63.5,81.0,77.5,82.0,75.5,85.0,84.5,91.5,78.0,77.0,82.5,68.5,7.0,8.0,10.0,10.0,10.0,2011
86.5,79.0,63.0,73.0,88.0,74.0,65.0,81.0,83.0,92.5,86.0,59.0,59.5,58.5,83.0,65.0,86.0,51.0,80.0,77.0,82.0,81.0,86.0,83.0,91.0,80.0,76.0,82.0,72.0,7.0,8.0,10.0,10.0,10.0,2012
85.5,79.0,63.0,73.0,88.0,71.0,65.0,81.0,83.0,94.0,84.0,56.0,56.5,56.0,83.0,65.0,86.0,43.0,66.5,77.0,82.0,81.0,86.0,80.0,91.0,82.0,74.0,82.0,70.0,7.0,8.0,10.0,10.0,10.0,2013
84.17,79.0,58.83,72.67,89.17,71.0,64.5,81.0,83.0,92.67,83.17,54.0,53.0,57.67,82.5,65.67,85.67,43.0,59.5,76.33,82.0,80.67,85.17,79.67,88.5,82.0,73.17,80.0,70.0,7.0,8.0,10.0,10.0,10.0,2014
84.8,79.0,57.6,72.0,91.2,71.0,77.0,81.4,83.4,92.2,84.0,46.2,45.2,62.8,86.6,67.8,81.0,46.8,63.6,74.8,82.0,78.0,85.8,78.6,88.0,80.8,71.6,76.6,71.0,7.0,8.0,10.0,10.0,10.0,2015
84.0,79.0,56.0,72.0,92.0,71.0,77.0,82.0,84.0,93.0,84.0,32.0,33.0,58.0,83.75,67.0,82.0,46.0,62.0,74.0,82.0,78.0,86.0,77.0,88.0,80.0,70.0,77.0,71.0,7.0,8.0,10.0,10.0,10.0,2016
